,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,
#,NationalBusinessCouncil,National Business Council,default,"The establishment of a national business council gives a strong voice to business interests and ensures that the needs of business, both big and small are taken into account. The council serves as a way to promote capitalism and enterprise and get accross the message that the corporate world has much to offer, creates employment and prosperity.",,2,2,2,2,ECONOMY,40,160,,2,0,0,,#Effects,"Capitalist,0.02+(0.04*x)","GDP,0.01+(0.02*x),24","_global_socialism,0-(0.03*x),20",
#,SocialJusticeFoundation,Social Justice Foundation,default,"This policy will establish a foundation that deals with the worries and problems of the poor and under-represented in our country. It will take away some of the worries these people have and gives them a better feeling of being included into society. It won't get them a better life directly, but at least some hope of a better future, and hope is very important to have.",,2,6,2,2,PUBLICSERVICES,30,100,,2,0,0,,#Effects,"_global_liberalism,0.01+(0.02*x),16",,,
#,SmartMeterProgram,Smart Meter Program,default,"By installing Smart Meters into their homes, people can save money and the environment at the same time, as it will increase the effeciency of energy used. It will take a while to convince everyone of this and it won't cause miracles, but it will save a lot of energy in the long run and help save nature for our children.",,4,4,1,1,ECONOMY,20,240,,8,0,0,,#Effects,"EnergyEfficiency,0+(0.07*x),4","Environmentalist,0.02+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",
#,NeedleExchangeProgram,Needle Exchange Program,default,"Drug addition itself is bad enough already, and dirty or infected needles are an additional danger for drug addicts. To help out, the needle exchange program will help the addicts get clean needles for their needs, while also offering them help in getting clean and living a normal life again. Conservatives may think of this as enabling, but liberals see it as a good way to fight drug abuse in the long run.",,12,12,2,2,LAWANDORDER,20,120,,4,0,0,,#Effects,"Liberal,0.02+(0.02*x)","Conservatives,0-(0.03*x)","Health,0+(0.04*x),4",
#,StampOutRacismWeek,Stamp Out Racism Week,default,"One week of the year will be dedicated to embrace cultural and racial diversity, aiming to reduce racial tension. This includes specials in the media, small food markets with delicacies from around the world, community meetings, celebrations and friendly competitions.",,8,12,1,1,PUBLICSERVICES,20,80,,1,0,0,,#Effects,"RacialTension,0-(0.03*x),8","_global_liberalism,0+(0.04*x),16",,
#,CompulsoryFoodLabelling,Compulsory Food Labelling,default,"There is plenty of food out there that is not healthy, but companies have found clever ways to obscure that by making it look extra tasty or put the ingredients list in smallest print. This is now over with Compulsory Food Labelling: All foods must now display all the ingredients and additives in it, making it easier for people to choose the food they want to eat while remaining healthy.",,12,12,6,6,PUBLICSERVICES,30,120,,2,0,0,,#Effects,"Obesity,-0.02-(0.03*x),12","Health,0.02+(0.03*x),8","Capitalist,0-(0.02*x)","GDP,0-(0.01*x),8"
#,TradeCouncil,Trade Council,default,"It has always been a hassle to find trustworthy trading partners in foreign countries. With the establishment of the Trade Council, this will become easier now, as potential trade partners are listed here and make offers themselves. This will increase international trade and boost the economy.",,2,4,2,2,ECONOMY,30,110,,2,0,0,,#Effects,"InternationalTrade,0.01+(0.03*x),8","ForeignRelations,0+(0.04*x),8",,
#,CompulsoryForeignLanguageClasses,Compulsory Foreign Language Classes,default,"To understand their language is the first important step to understand other people. By introducing compulsory foreign language classes, schoolkids are taught a selection of foreign languages early on so they can later use them well. This will reduce racial tension while improving foreign trade and relations.",,5,5,1,1,PUBLICSERVICES,30,60,,2,0,0,,#Effects,"InternationalTrade,0.01+(0.02*x),24","ForeignRelations,0.01+(0.02*x),24","RacialTension,0-(0.015*x),12",
#,LaborDayBankHoliday,Labor Day Bank Holiday,default,"This makes Labor Day an official bank holiday, thus reminding citizens that it is not all about money in our life. While this will certainly help to increase the happiness of the working class and everyone who wants to have a good time, it will have a slight negative impact on the economy because a day wasted is money lost.",,3,14,5,5,ECONOMY,0,0,,2,0,0,,#Effects,"GDP,-0-(0.02*x),4","_global_socialism,0.02+(0.02*x),8","Socialist,0.02+(0.03*x)",
#,CityFarms,City Farms,default,"Many people would love to buy fresh produce from farmers directly, but living in the city, this is often a hassle to drive out to the countryside. So why not bring some farmers to the cities directly? This program helps ambitious farmers to establish farms in or around cities so they can be close to their customers and it will get some of the city kids to consider a career in farming.",,3,8,4,4,ECONOMY,30,110,,4,0,0,,#Effects,"Farmers,0.02+(0.04*x)","Farmers_freq,0+(0.04*x),16",,
#,EcoHomeRegulations,Eco-home Regulations,default,"By setting rules and standards for houses towards eco-friendliness, there are many more things to be considered now when building houses. This may cause a hassle for developers and landlords, but it will help protect the environment in the long run.",,10,10,5,5,ECONOMY,30,120,,4,0,0,,#Effects,"Capitalist,0-(0.04*x)","Environmentalist,0+(0.04*x)","CO2Emissions,0-(0.04*x)","Environmentalist_freq,0+(0.04*x),24"
#,YoungEntrepreneurScheme,Young Entrepreneur Scheme,default,"This Scheme is to help and support young people who are aiming to become businessmen in the future. By giving them opportunities to learn from veterans and detailed information about what to do and who to ask, this will increase happiness amongst capitalists, as they see their future secured.",,6,6,4,4,ECONOMY,20,80,,2,0,0,,#Effects,"Capitalist,0.03+(0.03*x)","Young,0+(0.04*x)","_global_socialism,0-(0.07*x),24",
#,DiplomaticService,Diplomatic Service,default,"Going beyond just having an ambassador and a secretary in a foreign country, employing a full Diplomatic Service may be more expensive, but in the field of international diplomacy, you need to stay on top of things in order to get the best deals for your country and to keep everyone involved and happy. It may take some time to get working effectively, but it will boost foreign relations.",,8,10,4,4,FOREIGNPOLICY,40,160,,4,0,0,,#Effects,"ForeignRelations,0+(0.07*x),24",,,
#,WitnessProtectionProgram,Witness Protection Program,default,"What good is catching a criminal if the witness to the crime disappears forever? Protecting these witnesses is of utmost importance for a working justice system, and the better it is, the more criminals get convicted and the more witnesses come forward if they see a crime.",,2,10,1,1,LAWANDORDER,40,160,,4,0,0,,#Effects,"ViolentCrimeRate,0-(0.1*x)","Organised Crime,0-(0.1*x),12",,
#,CompulsorySchoolSports,Compulsory School Sports,default,"By going beyond the physical education once in a week in schools, this program will introduce fully fledged sports classes. Pupils will be encouraged to pick a field they like and train for it, later competing in school tournaments on a local, regional and even national and international level, if they are good enough. This will increase the health of our children.",,4,8,1,1,PUBLICSERVICES,25,100,,4,0,0,,#Effects,"Health,0.02+(0.025*x),16","Obesity,0-(0.05*x),16",,
#,BicycleSubsidies,Bicycle Subsidies,default,"To encourage people to switch from car to bike, a financial motivation is sometimes needed. By introducing bicycle subsidies, it will now be easier and cheaper for people to buy bikes. And this will result in more people actually using a bike instead of driving a car or staying inside, boosting the health of all citizens by a little.",,2,10,2,2,TRANSPORT,30,220,,1,0,0,,#Effects,"Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8"
